iter	Passed	Remaining
0	152	23965
1	156	12232
2	160	8306
3	166	6415
4	171	5233
5	175	4433
6	180	3897
7	185	3483
8	190	3147
9	194	2878
10	211	2821
11	217	2642
12	221	2468
13	225	2319
14	230	2193
15	234	2083
16	238	1981
17	243	1896
18	248	1820
19	253	1746
20	257	1679
21	262	1620
22	266	1562
23	273	1524
24	277	1477
25	281	1430
26	286	1388
27	290	1347
28	295	1314
29	299	1278
30	303	1245
31	308	1214
32	317	1204
33	322	1174
34	326	1148
35	332	1125
36	336	1100
37	340	1076
38	344	1052
39	349	1029
40	353	1007
41	358	989
42	362	969
43	366	950
44	371	931
45	376	916
46	380	899
47	384	881
48	389	865
49	393	850
50	398	835
51	402	820
52	407	807
53	411	792
54	415	778
55	427	778
56	431	764
57	435	751
58	440	739
59	445	726
60	449	714
61	453	702
62	458	691
63	462	679
64	466	667
65	474	661
66	478	650
67	483	640
68	488	630
69	492	619
70	497	609
71	501	599
72	506	590
73	511	580
74	515	570
75	520	561
76	536	564
77	540	554
78	544	544
79	549	535
80	554	527
81	559	518
82	563	509
83	567	500
84	583	501
85	587	492
86	592	483
87	596	474
88	600	465
89	605	457
90	609	448
91	615	441
92	620	433
93	624	425
94	628	417
95	633	409
96	645	405
97	649	397
98	660	393
99	665	385
100	669	378
101	674	370
102	679	362
103	684	355
104	692	349
105	708	347
106	712	339
107	717	332
108	723	325
109	727	317
110	732	310
111	737	302
112	741	295
113	745	287
114	752	281
115	757	274
116	761	266
117	767	260
118	771	252
119	775	245
120	780	238
121	801	236
122	806	229
123	810	222
124	815	215
125	820	208
126	824	201
127	828	194
128	863	194
129	868	187
130	872	179
131	877	172
132	882	165
133	886	158
134	891	151
135	896	144
136	900	138
137	905	131
138	909	124
139	914	117
140	918	110
141	922	103
142	926	97
143	931	90
144	935	83
145	939	77
146	944	70
147	956	64
148	960	58
149	972	51
150	976	45
151	987	38
152	992	32
153	1004	26
154	1009	19
155	1013	12
156	1018	6
157	1022	0
